PERMNO,date,RET
3,2006-03-31,-0.084246
3,2006-04-30,0.12229
3,2006-05-31,-0.150874
3,2006-06-30,-0.041827
3,2006-07-31,0.18666
3,2006-08-31,-0.001619
3,2006-09-30,0.134562
3,2006-10-31,0.053261
3,2006-11-30,0.130488
3,2006-12-31,-0.074405
3,2007-01-31,0.01049
3,2007-02-28,-0.013064
3,2007-03-31,0.098097
3,2007-04-30,0.074158
3,2007-05-31,0.214339
3,2007-06-30,0.007005
3,2007-07-31,0.079646
3,2007-08-31,0.051002
3,2007-09-30,0.108247
3,2007-10-31,0.237701
3,2007-11-30,-0.040695
3,2007-12-31,0.087038
3,2008-01-31,-0.31664
3,2008-02-29,-0.076389
3,2008-03-31,0.147816
3,2008-04-30,0.212195
3,2008-05-31,0.085082
3,2008-06-30,-0.112901
3,2008-07-31,-0.050705
3,2008-08-31,0.066562
3,2008-09-30,-0.329558
3,2008-10-31,-0.053405
3,2008-11-30,-0.138675
3,2008-12-31,-0.07899
3,2009-01-31,0.056005
3,2009-02-28,-0.009098
3,2009-03-31,0.177024
3,2009-04-30,0.197013
3,2009-05-31,0.079313
3,2009-06-30,0.048745
3,2009-07-31,0.14716
3,2009-08-31,0.0295
3,2009-09-30,0.101896
3,2009-10-31,0.016995
3,2009-11-30,0.060531
3,2009-12-31,0.054134
3,2010-01-31,-0.088591
3,2010-02-28,0.06538
3,2010-03-31,0.14847
3,2010-04-30,0.111021
3,2010-05-31,-0.016125
3,2010-06-30,-0.020827
3,2010-07-31,0.022741
3,2010-08-31,-0.055005
3,2010-09-30,0.167215
3,2010-10-31,0.060723
3,2010-11-30,0.03379
3,2010-12-31,0.03667
3,2011-01-31,0.051959
3,2011-02-28,0.040935
3,2011-03-31,-0.013314
3,2011-04-30,0.004656
3,2011-05-31,-0.006569
3,2011-06-30,-0.03496
3,2011-07-31,0.163285
3,2011-08-31,-0.014469
3,2011-09-30,-0.009121
3,2011-10-31,0.061523
3,2011-11-30,-0.055783
3,2011-12-31,0.059655
3,2012-01-31,0.127111
3,2012-02-29,0.188311
3,2012-03-31,0.105284
3,2012-04-30,-0.025969
3,2012-05-31,-0.010702
3,2012-06-30,0.010853
3,2012-07-31,0.045822
3,2012-08-31,0.093539
3,2012-09-30,0.002803
3,2012-10-31,-0.107607
3,2012-11-30,-0.012413
3,2012-12-31,-0.090738
3,2013-01-31,-0.144094
3,2013-02-28,-0.025116
3,2013-03-31,0.002855
3,2013-04-30,0.000271
3,2013-05-31,0.022596
3,2013-06-30,-0.118303
3,2013-07-31,0.141225
3,2013-08-31,0.083389
3,2013-09-30,-0.021481
3,2013-10-31,0.096386
3,2013-11-30,0.069673
3,2013-12-31,0.008902
3,2014-01-31,-0.107697
3,2014-02-28,0.057311
3,2014-03-31,0.019953
3,2014-04-30,0.099396
3,2014-05-31,0.078293
3,2014-06-30,0.027662
3,2014-07-31,0.028731
3,2014-08-31,0.077092
3,2014-09-30,-0.017073
3,2014-10-31,0.07196
3,2014-11-30,0.105556
3,2014-12-31,-0.071891
3,2015-01-31,0.061424
3,2015-02-28,0.100461
3,2015-03-31,-0.031372
3,2015-04-30,0.005786
3,2015-05-31,0.045146
3,2015-06-30,-0.037266
3,2015-07-31,-0.032888
3,2015-08-31,-0.066117
3,2015-09-30,-0.021816
3,2015-10-31,0.083409
3,2015-11-30,-0.00569
3,2015-12-31,-0.110228
3,2016-01-31,-0.075242
3,2016-02-29,-0.001335
3,2016-03-31,0.127211
3,2016-04-30,-0.139921
3,2016-05-31,0.071368
3,2016-06-30,-0.04266
3,2016-07-31,0.090063
3,2016-08-31,0.023606
3,2016-09-30,0.065504
3,2016-10-31,0.004334
3,2016-11-30,-0.021578
3,2016-12-31,0.047955
3,2017-01-31,0.047746
3,2017-02-28,0.133581
3,2017-03-31,0.04869
3,2017-04-30,-7e-05
3,2017-05-31,0.067804
3,2017-06-30,-0.057214
3,2017-07-31,0.032704
3,2017-08-31,0.106905
3,2017-09-30,-0.060244
3,2017-10-31,0.096808
3,2017-11-30,0.02035
3,2017-12-31,-0.015246
3,2018-01-31,-0.010636
3,2018-02-28,0.06761
3,2018-03-31,-0.058051
3,2018-04-30,-0.01502
3,2018-05-31,0.135181
3,2018-06-30,-0.009418
3,2018-07-31,0.027983
3,2018-08-31,0.200063
3,2018-09-30,-0.008303
3,2018-10-31,-0.030478
3,2018-11-30,-0.180709
3,2018-12-31,-0.116698
3,2019-01-31,0.055154
3,2019-02-28,0.044701
3,2019-03-31,0.097026
3,2019-04-30,0.056436
3,2019-05-31,-0.123735
3,2019-06-30,0.130519
3,2019-07-31,0.076394
3,2019-08-31,-0.01657
3,2019-09-30,0.072962
3,2019-10-31,0.110684
3,2019-11-30,0.077424
3,2019-12-31,0.098784
3,2020-01-31,0.05401
3,2020-02-29,-0.11431
3,2020-03-31,-0.069761
3,2020-04-30,0.155374
3,2020-05-31,0.084956
3,2020-06-30,0.147386
3,2020-07-31,0.165132
3,2020-08-31,0.216309
3,2020-09-30,-0.102526
3,2020-10-31,-0.060012
3,2020-11-30,0.09549
3,2020-12-31,0.114574
3,2021-01-31,-0.005502
3,2021-02-28,-0.079532
